travelCode,User_ID,Departure,Arrival,Check-in,Hotel,Stars,Bedroom Type,Room Price per Night,Number of Adults,Number of Children,Number of Bedrooms,Total Price per Night,Amenities,Days of Stay,Total Cost,Check-Out,Hotel_ID,Images
90,1,Vijayawada,Chandigarh,03-10-2019,Hyatt Regency Chandigarh,5,Suite,14691,2,0,1,14691,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",3,44073,06-10-2019,CHAN3,https://tse1.mm.bing.net/th?q=Hyatt+Regency+Chandigarh
92,1,Ludhiana,Puri,17-10-2019,Hotel Gandhara,2,Executive,3809,1,0,1,3809,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",3,11427,20-10-2019,PURI7,https://tse1.mm.bing.net/th?q=Hotel+Gandhara+Puri
100,2,Raigarh,Kullu-Manali,31-10-2019,Hotel Honeymoon Inn Manali,3,Suite,5938,2,3,2,11876,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",6,71256,06-11-2019,KULL6,https://tse1.mm.bing.net/th?q=Hotel+Honeymoon+Inn+Manali+Kullu-Manali
101,2,Khowai,Amritsar,07-11-2019,Ramada by Wyndham Amritsar,4,Executive,7582,2,1,2,15164,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",3,45492,10-11-2019,AMRI5,https://tse1.mm.bing.net/th?q=Ramada+by+Wyndham+Amritsar  
105,2,Bengaluru,Mysuru,05-12-2019,Royal Orchid Metropole,4,Suite,9321,4,3,4,37284,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",5,186420,10-12-2019,MYS3,https://tse1.mm.bing.net/th?q=Royal+Orchid+Metropole+Mysuru
108,2,Chennai,Visakhapatnam,26-12-2019,Best Western Ramachandra,3,Deluxe,5035,1,2,1,5035,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",5,25175,31-12-2019,VISA4,https://tse1.mm.bing.net/th?q=Best+Western+Ramachandra+Visakhapatnam
109,2,Gwalior,Khowai,02-01-2020,Hotel Palace Inn,3,Deluxe,4913,2,0,1,4913,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",2,9826,04-01-2020,KHOW6,https://tse1.mm.bing.net/th?q=Hotel+Palace+Inn+Khowai
110,2,Puri,Surat,09-01-2020,Courtyard by Marriott Surat,5,Deluxe,10630,2,2,2,21260,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",4,85040,13-01-2020,SURA2,https://tse1.mm.bing.net/th?q=Courtyard+by+Marriott+Surat+Surat
112,2,Ahmedabad,Srinagar,23-01-2020,Four Points by Sheraton Srinagar,4,Suite,8968,2,1,2,17936,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",3,53808,26-01-2020,SRIN2,https://tse1.mm.bing.net/th?q=Four+Points+by+Sheraton+Srinagar+Srinagar
116,2,Khowai,Shimla,20-02-2020,Honeymoon Inn Shimla,3,Deluxe,4910,1,0,1,4910,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms']",4,19640,24-02-2020,SHIM7,https://tse1.mm.bing.net/th?q=Honeymoon+Inn+Shimla+Shimla
117,2,Tirupati,Amritsar,27-02-2020,"Taj Swarna, Amritsar",5,Suite,13533,1,0,1,13533,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",7,94731,05-03-2020,AMRI2,https://tse1.mm.bing.net/th?q=Taj+Swarna+Amritsar  
119,2,Ranchi,Guwahati,12-03-2020,Hotel Daaysco Oley Allo,3,Deluxe,3595,1,2,1,3595,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,7190,14-03-2020,GUWA6,https://tse1.mm.bing.net/th?q=Hotel+Daaysco+Oley+Allo+Guwahati
122,2,Dehradun,Mumbai,02-04-2020,Sofitel Mumbai BKC,5,Deluxe,10481,2,0,1,10481,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",5,52405,07-04-2020,MUMB6,https://tse1.mm.bing.net/th?q=Sofitel+Mumbai+BKC+Mumbai
124,2,Ahmedabad,Puducherry,16-04-2020,Hotel Bon Sejour,3,Suite,7227,4,1,3,21681,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,86724,20-04-2020,PUDU10,https://tse1.mm.bing.net/th?q=Hotel+Bon+Sejour+Puducherry
125,2,Guwahati,Varanasi,23-04-2020,Radisson Hotel Varanasi,5,Executive,11843,2,1,2,23686,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",7,165802,30-04-2020,VARA5,https://tse1.mm.bing.net/th?q=Radisson+Hotel+Varanasi+Varanasi
135,2,Puri,Kullu-Manali,02-07-2020,The Himalayan,5,Executive,13528,1,2,1,13528,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",3,40584,05-07-2020,KULL1,https://tse1.mm.bing.net/th?q=The+Himalayan+Kullu-Manali
137,2,Srinagar,Mysuru,16-07-2020,Hotel Roopa,3,Suite,5704,1,0,1,5704,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",5,28520,21-07-2020,MYS8,https://tse1.mm.bing.net/th?q=Hotel+Roopa+Mysuru
150,2,Raipur,Hyderabad,15-10-2020,Courtyard by Marriott Hyderabad,4,Executive,7517,1,2,1,7517,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",3,22551,18-10-2020,HYDE9,https://tse1.mm.bing.net/th?q=Courtyard+by+Marriott+Hyderabad
153,2,Delhi NCR,Khowai,05-11-2020,Hotel Woodland Park,3,Suite,4592,4,0,2,9184,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",5,45920,10-11-2020,KHOW2,https://tse1.mm.bing.net/th?q=Hotel+Woodland+Park+Khowai
156,2,Vijayawada,Mopa,26-11-2020,Hotel Sea View,2,Deluxe,3213,2,0,1,3213,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",1,3213,27-11-2020,MOPA7,https://tse1.mm.bing.net/th?q=Hotel+Sea+View+Mopa
160,2,Ahmedabad,Srinagar,24-12-2020,Four Points by Sheraton Srinagar,4,Suite,8968,2,3,2,17936,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,35872,26-12-2020,SRIN2,https://tse1.mm.bing.net/th?q=Four+Points+by+Sheraton+Srinagar+Srinagar
165,2,Mopa,Diu,28-01-2021,Hotel Palms,3,Deluxe,5144,1,2,1,5144,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",5,25720,02-02-2021,DIU9,https://tse1.mm.bing.net/th?q=Hotel+Palms+Diu
177,2,Ranchi,Bengaluru,22-04-2021,Signature Club Resort,4,Deluxe,7584,1,1,1,7584,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",6,45504,28-04-2021,BENG5,https://tse1.mm.bing.net/th?q=Signature+Club+Resort+Bengaluru  
180,2,Srinagar,Gangtok,13-05-2021,The Nettle and Fern Hotel,3,Deluxe,4394,2,1,2,8788,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,17576,15-05-2021,GANG10,https://tse1.mm.bing.net/th?q=The+Nettle+and+Fern+Hotel+Gangtok
187,2,Prayagraj,Udaipur,01-07-2021,Hotel Mandovin,3,Deluxe,5068,3,3,3,15204,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,91224,07-07-2021,UDAI6,https://tse1.mm.bing.net/th?q=Hotel+Mandovin+Udaipur
188,2,Itanagar,Kota,08-07-2021,Hotel Bharat,3,Suite,4522,2,1,2,9044,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,36176,12-07-2021,KOTA10,https://tse1.mm.bing.net/th?q=Hotel+Bharat+Kota
189,2,Varanasi,Jaipur,15-07-2021,Hotel Royal Orchid Jaipur,4,Deluxe,5896,3,0,2,11792,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",3,35376,18-07-2021,JAIP4,https://tse1.mm.bing.net/th?q=Hotel+Royal+Orchid+Jaipur+Jaipur
192,2,Dhubri,Thiruvananthapuram,05-08-2021,Hilton Garden Inn Trivandrum,5,Executive,13316,3,3,3,39948,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,39948,06-08-2021,THIR2,https://tse1.mm.bing.net/th?q=Hilton+Garden+Inn+Trivandrum+Thiruvananthapuram
197,2,Kolkata,Bhubaneswar,09-09-2021,Mayfair Lagoon,5,Deluxe,11657,4,3,4,46628,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",7,326396,16-09-2021,BHUB1,https://tse1.mm.bing.net/th?q=Mayfair+Lagoon+Bhubaneswar
201,2,Mopa,Ranchi,07-11-2021,Hotel Green Acres,3,Suite,5942,1,1,1,5942,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,41594,14-11-2021,RANC4,https://tse1.mm.bing.net/th?q=Hotel+Green+Acres+Ranchi
205,2,Gangtok,Dabolim,04-11-2021,Hotel Cliff,2,Executive,2885,4,3,4,11540,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",6,69240,10-11-2021,DABO5,https://tse1.mm.bing.net/th?q=Hotel+Cliff+Dabolim
211,2,Shillong,Raigarh,16-12-2021,Hotel Shreshtha,3,Deluxe,5446,1,0,1,5446,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",4,21784,20-12-2021,RAIG2,https://tse1.mm.bing.net/th?q=Hotel+Shreshtha+Raigarh
213,2,Pune,Vadodara,30-12-2021,Hyatt Place Vadodara,5,Suite,15044,3,2,3,45132,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,180528,03-01-2022,VADO4,https://tse1.mm.bing.net/th?q=Hyatt+Place+Vadodara+Vadodara
214,2,Vadodara,Ludhiana,06-01-2022,Radisson Blu Hotel MBD Ludhiana,5,Deluxe,9372,4,2,3,28116,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad']",6,168696,12-01-2022,LUDH2,https://tse1.mm.bing.net/th?q=Radisson+Blu+Hotel+MBD+Ludhiana+Ludhiana
219,2,Vadodara,Varanasi,10-02-2022,Rivatas by Ideal,4,Executive,7056,3,1,2,14112,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",3,42336,13-02-2022,VARA7,https://tse1.mm.bing.net/th?q=Rivatas+by+Ideal+Varanasi
221,2,Srinagar,Mumbai,24-02-2022,The St. Regis Mumbai,5,Deluxe,11277,2,2,2,22554,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler', 'Limousine Service']",7,157878,03-03-2022,MUMB5,https://tse1.mm.bing.net/th?q=The+St+Regis+Mumbai+Mumbai
224,2,Nashik,Ayodhya,17-03-2022,Hotel Saryu Palace,3,Deluxe,3364,4,2,3,10092,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,40368,21-03-2022,AYOD8,https://tse1.mm.bing.net/th?q=Hotel+Saryu+Palace+Ayodhya  
225,2,Amritsar,Guwahati,24-03-2022,Hotel Daaysco Oley Allo,3,Suite,4902,3,0,2,9804,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,39216,28-03-2022,GUWA6,https://tse1.mm.bing.net/th?q=Hotel+Daaysco+Oley+Allo+Guwahati
233,3,Bhopal,Dehradun,14-11-2019,Hotel Padmini Palace,3,Executive,4859,2,3,2,9718,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",5,48590,19-11-2019,DEHR3,https://tse1.mm.bing.net/th?q=Hotel+Padmini+Palace+Dehradun
235,3,Nashik,Varanasi,28-11-2019,Hotel Madin,4,Executive,7713,1,0,1,7713,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",5,38565,03-12-2019,VARA6,https://tse1.mm.bing.net/th?q=Hotel+Madin+Varanasi
238,3,Bengaluru,Dhubri,19-12-2019,Vijay Residency (Adhoc),2,Deluxe,2331,1,1,1,2331,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",4,9324,23-12-2019,DHUB6,https://tse1.mm.bing.net/th?q=Vijay+Residency+Dhubri
239,3,Jaipur,Coimbatore,26-12-2019,Vivanta Coimbatore,4,Executive,9097,3,2,3,27291,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",2,54582,28-12-2019,COIM4,https://tse1.mm.bing.net/th?q=Vivanta+Coimbatore
240,3,Chennai,Udaipur,02-01-2020,The Fern Residency Udaipur,3,Suite,4978,2,1,2,9956,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",7,69692,09-01-2020,UDAI5,https://tse1.mm.bing.net/th?q=The+Fern+Residency+Udaipur+Udaipur
241,3,Kullu-Manali,Mopa,09-01-2020,Hotel Hill Rock,3,Suite,4856,3,0,2,9712,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,19424,11-01-2020,MOPA2,https://tse1.mm.bing.net/th?q=Hotel+Hill+Rock+Mopa
243,3,Khowai,Kota,23-01-2020,Hotel Bharat,3,Executive,3920,1,1,1,3920,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",6,23520,29-01-2020,KOTA10,https://tse1.mm.bing.net/th?q=Hotel+Bharat+Kota
244,3,Prayagraj,Gwalior,30-01-2020,Ramaya Hotel,3,Suite,5738,4,3,4,22952,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",2,45904,01-02-2020,GWAL3,https://tse1.mm.bing.net/th?q=Ramaya+Hotel+Gwalior
246,3,Raipur,Prayagraj,13-02-2020,Hotel DPS Inn,3,Executive,6168,2,3,2,12336,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",4,49344,17-02-2020,PRAY9,https://tse1.mm.bing.net/th?q=Hotel+DPS+Inn+Prayagraj
248,3,Dehradun,Varanasi,28-02-2020,Hotel Clarks Varanasi,5,Suite,14678,2,0,1,14678,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service', 'Private Butler']",7,102746,06-03-2020,VARA4,https://tse1.mm.bing.net/th?q=Hotel+Clarks+Varanasi+Varanasi
255,3,Raigarh,Nashik,16-04-2020,Express Inn Nashik,4,Suite,8052,3,3,3,24156,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,24156,17-04-2020,NASH3,https://tse1.mm.bing.net/th?q=Express+Inn+Nashik+Nashik
259,3,Kullu-Manali,Ayodhya,14-05-2020,Hotel Saryu Palace,3,Deluxe,3364,3,3,3,10092,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",3,30276,17-05-2020,AYOD8,https://tse1.mm.bing.net/th?q=Hotel+Saryu+Palace+Ayodhya  
