travelCode,User_ID,Departure,Arrival,Check-in,Hotel,Stars,Bedroom Type,Room Price per Night,Number of Adults,Number of Children,Number of Bedrooms,Total Price per Night,Amenities,Days of Stay,Total Cost,Check-Out,Hotel_ID
34118,326,Mumbai,Visakhapatnam,2022-08-25,Fairfield by Marriott Visakhapatnam,4,Suite,10126,4,3,4,40504,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",7,283528,2022-09-01,VISA2
35975,343,Gwalior,Visakhapatnam,2020-11-19,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,0,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",6,52656,2020-11-25,VISA2
38805,372,Srinagar,Visakhapatnam,2020-02-06,Fairfield by Marriott Visakhapatnam,4,Executive,8776,3,3,3,26328,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",3,78984,2020-02-09,VISA2
39744,384,Vadodara,Visakhapatnam,2021-01-07,Fairfield by Marriott Visakhapatnam,4,Suite,10126,1,1,1,10126,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",4,40504,2021-01-11,VISA2
41027,396,Thiruvananthapuram,Visakhapatnam,2021-06-03,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,1,0,1,7426,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,37130,2021-06-08,VISA2
41425,402,Dabolim,Visakhapatnam,2020-05-14,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,3,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",4,70208,2020-05-18,VISA2
42927,419,Thiruvananthapuram,Visakhapatnam,2019-10-10,Fairfield by Marriott Visakhapatnam,4,Suite,10126,4,0,2,20252,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",3,60756,2019-10-13,VISA2
48989,480,Srinagar,Visakhapatnam,2021-01-07,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,2,1,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",3,44556,2021-01-10,VISA2
50511,491,Nashik,Visakhapatnam,2022-08-04,Fairfield by Marriott Visakhapatnam,4,Executive,8776,4,2,3,26328,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",6,157968,2022-08-10,VISA2
52048,504,Jaipur,Visakhapatnam,2023-05-04,Fairfield by Marriott Visakhapatnam,4,Executive,8776,4,1,3,26328,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,131640,2023-05-09,VISA2
52268,507,Vijayawada,Visakhapatnam,2020-06-25,Fairfield by Marriott Visakhapatnam,4,Suite,10126,3,3,3,30378,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",3,91134,2020-06-28,VISA2
52514,509,Patna,Visakhapatnam,2022-02-10,Fairfield by Marriott Visakhapatnam,4,Suite,10126,2,3,2,20252,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",7,141764,2022-02-17,VISA2
55974,545,Itanagar,Visakhapatnam,2020-05-28,Fairfield by Marriott Visakhapatnam,4,Suite,10126,4,1,3,30378,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",5,151890,2020-06-02,VISA2
58271,568,Puducherry,Visakhapatnam,2020-11-26,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,4,1,3,22278,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",6,133668,2020-12-02,VISA2
58290,568,Kolkata,Visakhapatnam,2021-04-08,Fairfield by Marriott Visakhapatnam,4,Suite,10126,1,1,1,10126,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,20252,2021-04-10,VISA2
61313,599,Dabolim,Visakhapatnam,2021-04-22,Fairfield by Marriott Visakhapatnam,4,Suite,10126,4,2,3,30378,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,151890,2021-04-27,VISA2
66361,643,Kota,Visakhapatnam,2020-08-20,Fairfield by Marriott Visakhapatnam,4,Executive,8776,1,2,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",1,8776,2020-08-21,VISA2
66389,645,Kota,Visakhapatnam,2019-10-10,Fairfield by Marriott Visakhapatnam,4,Executive,8776,4,0,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",6,105312,2019-10-16,VISA2
67034,650,Gwalior,Visakhapatnam,2023-01-19,Fairfield by Marriott Visakhapatnam,4,Suite,10126,2,0,1,10126,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",3,30378,2023-01-22,VISA2
73721,715,Ayodhya,Visakhapatnam,2020-01-30,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,3,1,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,29704,2020-02-01,VISA2
74205,718,Ludhiana,Visakhapatnam,2022-06-23,Fairfield by Marriott Visakhapatnam,4,Executive,8776,1,2,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",3,26328,2022-06-26,VISA2
77888,756,Chandigarh,Visakhapatnam,2022-10-28,Fairfield by Marriott Visakhapatnam,4,Executive,8776,1,2,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,26328,2022-10-31,VISA2
82695,808,Dehradun,Visakhapatnam,2020-08-13,Fairfield by Marriott Visakhapatnam,4,Executive,8776,3,1,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",3,52656,2020-08-16,VISA2
84947,835,Dehradun,Visakhapatnam,2021-06-24,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,1,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",1,17552,2021-06-25,VISA2
97057,959,Amritsar,Visakhapatnam,2021-02-04,Fairfield by Marriott Visakhapatnam,4,Executive,8776,1,2,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",1,8776,2021-02-05,VISA2
101551,1007,Udaipur,Visakhapatnam,2020-07-02,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,2,3,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",5,74260,2020-07-07,VISA2
102050,1012,Amritsar,Visakhapatnam,2020-08-28,Fairfield by Marriott Visakhapatnam,4,Suite,10126,4,0,2,20252,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",1,20252,2020-08-29,VISA2
104946,1041,Vijayawada,Visakhapatnam,2019-10-24,Fairfield by Marriott Visakhapatnam,4,Suite,10126,3,0,2,20252,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",5,101260,2019-10-29,VISA2
106351,1056,Puri,Visakhapatnam,2021-07-22,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,0,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",1,8776,2021-07-23,VISA2
112775,1119,Imphal,Visakhapatnam,2020-08-06,Fairfield by Marriott Visakhapatnam,4,Executive,8776,1,0,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,26328,2020-08-09,VISA2
113398,1126,Udaipur,Visakhapatnam,2021-11-04,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,3,1,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",2,29704,2021-11-06,VISA2
114517,1139,Khowai,Visakhapatnam,2021-01-14,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,2,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,35104,2021-01-16,VISA2
116560,1155,Prayagraj,Visakhapatnam,2023-01-19,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,4,0,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",2,29704,2023-01-21,VISA2
117438,1164,Ayodhya,Visakhapatnam,2020-02-13,Fairfield by Marriott Visakhapatnam,4,Suite,10126,4,2,3,30378,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge']",1,30378,2020-02-14,VISA2
118581,1175,Bengaluru,Visakhapatnam,2020-12-10,Fairfield by Marriott Visakhapatnam,4,Executive,8776,4,2,3,26328,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,131640,2020-12-15,VISA2
119499,1185,Jamshedpur,Visakhapatnam,2022-03-31,Fairfield by Marriott Visakhapatnam,4,Suite,10126,3,2,3,30378,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",7,212646,2022-04-07,VISA2
119967,1190,Imphal,Visakhapatnam,2019-12-19,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,4,1,3,22278,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",2,44556,2019-12-21,VISA2
120362,1194,Ranchi,Visakhapatnam,2019-11-14,Fairfield by Marriott Visakhapatnam,4,Suite,10126,3,2,3,30378,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,30378,2019-11-15,VISA2
120446,1195,Puri,Visakhapatnam,2020-04-30,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,2,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge', 'Business Center']",3,52656,2020-05-03,VISA2
121948,1210,Dhubri,Visakhapatnam,2020-04-09,Fairfield by Marriott Visakhapatnam,4,Suite,10126,2,0,1,10126,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",2,20252,2020-04-11,VISA2
125556,1239,Pune,Visakhapatnam,2021-09-23,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,3,0,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",3,44556,2021-09-26,VISA2
127572,1259,Dhubri,Visakhapatnam,2019-10-24,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,0,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",4,35104,2019-10-28,VISA2
130011,1280,Gwalior,Visakhapatnam,2021-06-03,Fairfield by Marriott Visakhapatnam,4,Suite,10126,2,0,1,10126,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",5,50630,2021-06-08,VISA2
131251,1290,Hisar,Visakhapatnam,2022-09-01,Fairfield by Marriott Visakhapatnam,4,Deluxe,7426,2,1,2,14852,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",3,44556,2022-09-04,VISA2
135521,1332,Patna,Visakhapatnam,2022-11-17,Fairfield by Marriott Visakhapatnam,4,Executive,8776,1,2,1,8776,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",6,52656,2022-11-23,VISA2
135894,1338,Bhopal,Visakhapatnam,2019-10-03,Fairfield by Marriott Visakhapatnam,4,Executive,8776,2,2,2,17552,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",4,70208,2019-10-07,VISA2
2,0,Ranchi,Shillong,2019-10-10,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,1,2,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",1,7240,2019-10-11,SHIL1
54,0,Raipur,Shillong,2020-10-08,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,1,0,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",2,14480,2020-10-10,SHIL1
555,4,Udaipur,Shillong,2022-03-24,Ri Kynjai – Serenity by the Lake,4,Suite,9873,3,1,2,19746,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge']",6,118476,2022-03-30,SHIL1
3841,39,Navi Mumbai,Shillong,2021-04-22,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,3,0,2,14480,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge']",6,86880,2021-04-28,SHIL1
6188,61,Bilaspur,Shillong,2022-03-31,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,4,2,3,21720,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",1,21720,2022-04-01,SHIL1
9344,94,Imphal,Shillong,2020-07-23,Ri Kynjai – Serenity by the Lake,4,Executive,8557,2,0,1,8557,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center']",1,8557,2020-07-24,SHIL1
9859,98,Bhubaneswar,Shillong,2020-04-23,Ri Kynjai – Serenity by the Lake,4,Executive,8557,1,2,1,8557,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",2,17114,2020-04-25,SHIL1
11269,111,Navi Mumbai,Shillong,2022-01-13,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,3,3,3,21720,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",3,65160,2022-01-16,SHIL1
14556,146,Kullu-Manali,Shillong,2020-03-05,Ri Kynjai – Serenity by the Lake,4,Suite,9873,4,1,3,29619,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",3,88857,2020-03-08,SHIL1
16406,162,Dabolim,Shillong,2020-11-26,Ri Kynjai – Serenity by the Lake,4,Executive,8557,2,3,2,17114,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,34228,2020-11-28,SHIL1
16628,166,Raipur,Shillong,2020-07-30,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,1,1,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna', 'Business Center']",5,36200,2020-08-04,SHIL1
20630,203,Prayagraj,Shillong,2020-11-05,Ri Kynjai – Serenity by the Lake,4,Suite,9873,1,0,1,9873,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",6,59238,2020-11-11,SHIL1
21445,210,Bhopal,Shillong,2020-04-23,Ri Kynjai – Serenity by the Lake,4,Suite,9873,3,2,3,29619,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",5,148095,2020-04-28,SHIL1
24899,242,Itanagar,Shillong,2019-11-28,Ri Kynjai – Serenity by the Lake,4,Executive,8557,4,0,2,17114,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna', 'Rooftop Lounge']",4,68456,2019-12-02,SHIL1
28371,271,Gwalior,Shillong,2021-10-28,Ri Kynjai – Serenity by the Lake,4,Suite,9873,3,1,2,19746,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Business Center', 'Sauna']",2,39492,2021-10-30,SHIL1
30679,292,Udaipur,Shillong,2020-02-06,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,1,0,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",3,21720,2020-02-09,SHIL1
33948,325,Dehradun,Shillong,2022-07-28,Ri Kynjai – Serenity by the Lake,4,Executive,8557,1,0,1,8557,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",2,17114,2022-07-30,SHIL1
34328,328,Vijayawada,Shillong,2021-11-26,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,2,3,2,14480,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",7,101360,2021-12-03,SHIL1
37633,357,Nashik,Shillong,2022-04-28,Ri Kynjai – Serenity by the Lake,4,Suite,9873,4,2,3,29619,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",5,148095,2022-05-03,SHIL1
40673,391,Bengaluru,Shillong,2021-01-07,Ri Kynjai – Serenity by the Lake,4,Suite,9873,3,1,2,19746,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",1,19746,2021-01-08,SHIL1
42115,410,Thiruvananthapuram,Shillong,2020-09-17,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,2,3,2,14480,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",1,14480,2020-09-18,SHIL1
45256,441,Mumbai,Shillong,2021-10-28,Ri Kynjai – Serenity by the Lake,4,Deluxe,7240,1,0,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,7240,2021-10-29,SHIL1
46382,451,Tirupati,Shillong,2020-11-19,Ri Kynjai – Serenity by the Lake,4,Suite,9873,1,2,1,9873,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",6,59238,2020-11-25,SHIL1
47546,461,Delhi NCR,Shillong,2021-01-07,Ri Kynjai – Serenity by the Lake,4,Suite,9873,1,2,1,9873,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",1,9873,2021-01-08,SHIL1
48826,479,Gwalior,Shillong,2019-11-14,Ri Kynjai – Serenity by the Lake,4,Executive,8557,4,3,4,34228,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Rooftop Lounge', 'Sauna']",4,136912,2019-11-18,SHIL1
