TravelCode,UserID,City,Hotel,Rating,BedroomType,PricePerNight,Adults,Children,TotalRooms,TotalPrice,Amenities,StayingDays,TotalCost,CheckOut,CheckIn,Images
34,0,Raigarh,Hotel Shyam,2,Executive,3084,2,0,1,3084,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",3,9252,24-05-2020,21-05-2020,https://tse1.mm.bing.net/th?q=Hotel+Shyam+Raigarh
38,0,Srinagar,"Radisson Collection Hotel & Spa, Riverfront Srinagar",5,Deluxe,10233,3,2,3,30699,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Limousine Service']",1,30699,19-06-2020,18-06-2020,https://tse1.mm.bing.net/th?q=Radisson+Collection+Hotel+Spa+Riverfront+Srinagar+Srinagar
39,0,Delhi NCR,Radisson Blu Plaza Delhi Airport,5,Deluxe,11211,3,1,2,22422,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",2,44844,27-06-2020,25-06-2020,https://tse1.mm.bing.net/th?q=Radisson+Blu+Plaza+Delhi+Airport
42,0,Raipur,Hotel Shamrock Greens,4,Deluxe,6983,2,2,2,13966,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,27932,18-07-2020,16-07-2020,https://tse1.mm.bing.net/th?q=Hotel+Shamrock+Greens+Raipur
43,0,Ludhiana,Regenta Central Klassik,4,Executive,8186,3,2,3,24558,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,24558,25-07-2020,24-07-2020,https://tse1.mm.bing.net/th?q=Regenta+Central+Klassik+Ludhiana
45,0,Raigarh,Hotel Shubham,2,Suite,4047,3,1,2,8094,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",4,32376,10-08-2020,06-08-2020,https://tse1.mm.bing.net/th?q=Hotel+Shubham+Raigarh
51,0,Raipur,Hotel Grand Imperia,3,Deluxe,4847,2,2,2,9694,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",2,19388,19-09-2020,17-09-2020,https://tse1.mm.bing.net/th?q=Hotel+Grand+Imperia+Raipur
53,0,Indore,Hotel President,3,Deluxe,4840,1,1,1,4840,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",1,4840,02-10-2020,01-10-2020,https://tse1.mm.bing.net/th?q=Hotel+President+Indore
54,0,Shillong,Ri Kynjai  Serenity by the Lake,4,Deluxe,7240,1,0,1,7240,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center']",2,14480,10-10-2020,08-10-2020,
55,0,Khowai,Hotel Shankar,3,Deluxe,4343,4,1,3,13029,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",6,78174,21-10-2020,15-10-2020,https://tse1.mm.bing.net/th?q=Hotel+Shankar+Khowai
57,0,Visakhapatnam,Best Western Ramachandra,3,Suite,6866,2,2,2,13732,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",4,54928,02-11-2020,29-10-2020,https://tse1.mm.bing.net/th?q=Best+Western+Ramachandra+Visakhapatnam
60,0,Indore,Hotel Winway,3,Suite,4638,3,3,3,13914,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",4,55656,23-11-2020,19-11-2020,https://tse1.mm.bing.net/th?q=Hotel+Winway+Indore
65,0,Gwalior,The Central Park,3,Executive,4570,1,0,1,4570,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms', 'Bar']",5,22850,29-12-2020,24-12-2020,https://tse1.mm.bing.net/th?q=The+Central+Park+Gwalior
73,0,Ahmedabad,The Leela Gandhinagar,5,Deluxe,9449,2,1,2,18898,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,75592,22-02-2021,18-02-2021,https://tse1.mm.bing.net/th?q=The+Leela+Gandhinagar+Ahmedabad  
81,0,Prayagraj,Hotel Ravisha Continental,3,Deluxe,4129,2,0,1,4129,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",4,16516,19-04-2021,15-04-2021,https://tse1.mm.bing.net/th?q=Hotel+Ravisha+Continental+Prayagraj
86,0,Dhubri,Galaxy Hotel,2,Deluxe,2451,3,3,3,7353,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",7,51471,28-05-2021,21-05-2021,https://tse1.mm.bing.net/th?q=Galaxy+Hotel+Dhubri
87,0,Ahmedabad,Hyatt Regency Ahmedabad,5,Executive,14086,1,2,1,14086,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler']",5,70430,01-06-2021,27-05-2021,https://tse1.mm.bing.net/th?q=Hyatt+Regency+Ahmedabad  
90,1,Chandigarh,Hyatt Regency Chandigarh,5,Suite,14691,2,0,1,14691,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",3,44073,06-10-2019,03-10-2019,https://tse1.mm.bing.net/th?q=Hyatt+Regency+Chandigarh
92,1,Puri,Hotel Gandhara,2,Executive,3809,1,0,1,3809,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry', 'Coffee Maker']",3,11427,20-10-2019,17-10-2019,https://tse1.mm.bing.net/th?q=Hotel+Gandhara+Puri
100,2,Kullu-Manali,Hotel Honeymoon Inn Manali,3,Suite,5938,2,3,2,11876,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",6,71256,06-11-2019,31-10-2019,https://tse1.mm.bing.net/th?q=Hotel+Honeymoon+Inn+Manali+Kullu-Manali
101,2,Amritsar,Ramada by Wyndham Amritsar,4,Executive,7582,2,1,2,15164,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Business Center', 'Rooftop Lounge']",3,45492,10-11-2019,07-11-2019,https://tse1.mm.bing.net/th?q=Ramada+by+Wyndham+Amritsar  
105,2,Mysuru,Royal Orchid Metropole,4,Suite,9321,4,3,4,37284,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna']",5,186420,10-12-2019,05-12-2019,https://tse1.mm.bing.net/th?q=Royal+Orchid+Metropole+Mysuru
108,2,Visakhapatnam,Best Western Ramachandra,3,Deluxe,5035,1,2,1,5035,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",5,25175,31-12-2019,26-12-2019,https://tse1.mm.bing.net/th?q=Best+Western+Ramachandra+Visakhapatnam
109,2,Khowai,Hotel Palace Inn,3,Deluxe,4913,2,0,1,4913,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",2,9826,04-01-2020,02-01-2020,https://tse1.mm.bing.net/th?q=Hotel+Palace+Inn+Khowai
110,2,Surat,Courtyard by Marriott Surat,5,Deluxe,10630,2,2,2,21260,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service']",4,85040,13-01-2020,09-01-2020,https://tse1.mm.bing.net/th?q=Courtyard+by+Marriott+Surat+Surat
112,2,Srinagar,Four Points by Sheraton Srinagar,4,Suite,8968,2,1,2,17936,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",3,53808,26-01-2020,23-01-2020,https://tse1.mm.bing.net/th?q=Four+Points+by+Sheraton+Srinagar+Srinagar
116,2,Shimla,Honeymoon Inn Shimla,3,Deluxe,4910,1,0,1,4910,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms']",4,19640,24-02-2020,20-02-2020,https://tse1.mm.bing.net/th?q=Honeymoon+Inn+Shimla+Shimla
117,2,Amritsar,"Taj Swarna, Amritsar",5,Suite,13533,1,0,1,13533,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",7,94731,05-03-2020,27-02-2020,https://tse1.mm.bing.net/th?q=Taj+Swarna+Amritsar  
119,2,Guwahati,Hotel Daaysco Oley Allo,3,Deluxe,3595,1,2,1,3595,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,7190,14-03-2020,12-03-2020,https://tse1.mm.bing.net/th?q=Hotel+Daaysco+Oley+Allo+Guwahati
122,2,Mumbai,Sofitel Mumbai BKC,5,Deluxe,10481,2,0,1,10481,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",5,52405,07-04-2020,02-04-2020,https://tse1.mm.bing.net/th?q=Sofitel+Mumbai+BKC+Mumbai
124,2,Puducherry,Hotel Bon Sejour,3,Suite,7227,4,1,3,21681,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,86724,20-04-2020,16-04-2020,https://tse1.mm.bing.net/th?q=Hotel+Bon+Sejour+Puducherry
125,2,Varanasi,Radisson Hotel Varanasi,5,Executive,11843,2,1,2,23686,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",7,165802,30-04-2020,23-04-2020,https://tse1.mm.bing.net/th?q=Radisson+Hotel+Varanasi+Varanasi
135,2,Kullu-Manali,The Himalayan,5,Executive,13528,1,2,1,13528,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Limousine Service', 'Helipad']",3,40584,05-07-2020,02-07-2020,https://tse1.mm.bing.net/th?q=The+Himalayan+Kullu-Manali
137,2,Mysuru,Hotel Roopa,3,Suite,5704,1,0,1,5704,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Airport Shuttle', 'Meeting Rooms']",5,28520,21-07-2020,16-07-2020,https://tse1.mm.bing.net/th?q=Hotel+Roopa+Mysuru
150,2,Hyderabad,Courtyard by Marriott Hyderabad,4,Executive,7517,1,2,1,7517,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center', 'Sauna']",3,22551,18-10-2020,15-10-2020,https://tse1.mm.bing.net/th?q=Courtyard+by+Marriott+Hyderabad
153,2,Khowai,Hotel Woodland Park,3,Suite,4592,4,0,2,9184,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",5,45920,10-11-2020,05-11-2020,https://tse1.mm.bing.net/th?q=Hotel+Woodland+Park+Khowai
156,2,Mopa,Hotel Sea View,2,Deluxe,3213,2,0,1,3213,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Laundry']",1,3213,27-11-2020,26-11-2020,https://tse1.mm.bing.net/th?q=Hotel+Sea+View+Mopa
160,2,Srinagar,Four Points by Sheraton Srinagar,4,Suite,8968,2,3,2,17936,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",2,35872,26-12-2020,24-12-2020,https://tse1.mm.bing.net/th?q=Four+Points+by+Sheraton+Srinagar+Srinagar
165,2,Diu,Hotel Palms,3,Deluxe,5144,1,2,1,5144,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",5,25720,02-02-2021,28-01-2021,https://tse1.mm.bing.net/th?q=Hotel+Palms+Diu
177,2,Bengaluru,Signature Club Resort,4,Deluxe,7584,1,1,1,7584,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",6,45504,28-04-2021,22-04-2021,https://tse1.mm.bing.net/th?q=Signature+Club+Resort+Bengaluru  
180,2,Gangtok,The Nettle and Fern Hotel,3,Deluxe,4394,2,1,2,8788,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,17576,15-05-2021,13-05-2021,https://tse1.mm.bing.net/th?q=The+Nettle+and+Fern+Hotel+Gangtok
187,2,Udaipur,Hotel Mandovin,3,Deluxe,5068,3,3,3,15204,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",6,91224,07-07-2021,01-07-2021,https://tse1.mm.bing.net/th?q=Hotel+Mandovin+Udaipur
188,2,Kota,Hotel Bharat,3,Suite,4522,2,1,2,9044,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,36176,12-07-2021,08-07-2021,https://tse1.mm.bing.net/th?q=Hotel+Bharat+Kota
189,2,Jaipur,Hotel Royal Orchid Jaipur,4,Deluxe,5896,3,0,2,11792,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Business Center']",3,35376,18-07-2021,15-07-2021,https://tse1.mm.bing.net/th?q=Hotel+Royal+Orchid+Jaipur+Jaipur
192,2,Thiruvananthapuram,Hilton Garden Inn Trivandrum,5,Executive,13316,3,3,3,39948,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",1,39948,06-08-2021,05-08-2021,https://tse1.mm.bing.net/th?q=Hilton+Garden+Inn+Trivandrum+Thiruvananthapuram
197,2,Bhubaneswar,Mayfair Lagoon,5,Deluxe,11657,4,3,4,46628,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",7,326396,16-09-2021,09-09-2021,https://tse1.mm.bing.net/th?q=Mayfair+Lagoon+Bhubaneswar
201,2,Ranchi,Hotel Green Acres,3,Suite,5942,1,1,1,5942,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",7,41594,14-11-2021,07-11-2021,https://tse1.mm.bing.net/th?q=Hotel+Green+Acres+Ranchi
205,2,Dabolim,Hotel Cliff,2,Executive,2885,4,3,4,11540,"['Wi-Fi', 'Parking', 'Room Service', 'TV']",6,69240,10-11-2021,04-11-2021,https://tse1.mm.bing.net/th?q=Hotel+Cliff+Dabolim
211,2,Raigarh,Hotel Shreshtha,3,Deluxe,5446,1,0,1,5446,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",4,21784,20-12-2021,16-12-2021,https://tse1.mm.bing.net/th?q=Hotel+Shreshtha+Raigarh
213,2,Vadodara,Hyatt Place Vadodara,5,Suite,15044,3,2,3,45132,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge']",4,180528,03-01-2022,30-12-2021,https://tse1.mm.bing.net/th?q=Hyatt+Place+Vadodara+Vadodara
214,2,Ludhiana,Radisson Blu Hotel MBD Ludhiana,5,Deluxe,9372,4,2,3,28116,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Private Butler', 'Helipad']",6,168696,12-01-2022,06-01-2022,https://tse1.mm.bing.net/th?q=Radisson+Blu+Hotel+MBD+Ludhiana+Ludhiana
219,2,Varanasi,Rivatas by Ideal,4,Executive,7056,3,1,2,14112,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Sauna', 'Rooftop Lounge']",3,42336,13-02-2022,10-02-2022,https://tse1.mm.bing.net/th?q=Rivatas+by+Ideal+Varanasi
221,2,Mumbai,The St. Regis Mumbai,5,Deluxe,11277,2,2,2,22554,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Private Butler', 'Limousine Service']",7,157878,03-03-2022,24-02-2022,https://tse1.mm.bing.net/th?q=The+St+Regis+Mumbai+Mumbai
224,2,Ayodhya,Hotel Saryu Palace,3,Deluxe,3364,4,2,3,10092,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,40368,21-03-2022,17-03-2022,https://tse1.mm.bing.net/th?q=Hotel+Saryu+Palace+Ayodhya  
225,2,Guwahati,Hotel Daaysco Oley Allo,3,Suite,4902,3,0,2,9804,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",4,39216,28-03-2022,24-03-2022,https://tse1.mm.bing.net/th?q=Hotel+Daaysco+Oley+Allo+Guwahati
233,3,Dehradun,Hotel Padmini Palace,3,Executive,4859,2,3,2,9718,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar']",5,48590,19-11-2019,14-11-2019,https://tse1.mm.bing.net/th?q=Hotel+Padmini+Palace+Dehradun
235,3,Varanasi,Hotel Madin,4,Executive,7713,1,0,1,7713,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge']",5,38565,03-12-2019,28-11-2019,https://tse1.mm.bing.net/th?q=Hotel+Madin+Varanasi
238,3,Dhubri,Vijay Residency (Adhoc),2,Deluxe,2331,1,1,1,2331,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Coffee Maker']",4,9324,23-12-2019,19-12-2019,https://tse1.mm.bing.net/th?q=Vijay+Residency+Dhubri
239,3,Coimbatore,Vivanta Coimbatore,4,Executive,9097,3,2,3,27291,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Rooftop Lounge', 'Sauna']",2,54582,28-12-2019,26-12-2019,https://tse1.mm.bing.net/th?q=Vivanta+Coimbatore
240,3,Udaipur,The Fern Residency Udaipur,3,Suite,4978,2,1,2,9956,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Bar', 'Meeting Rooms']",7,69692,09-01-2020,02-01-2020,https://tse1.mm.bing.net/th?q=The+Fern+Residency+Udaipur+Udaipur
241,3,Mopa,Hotel Hill Rock,3,Suite,4856,3,0,2,9712,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle']",2,19424,11-01-2020,09-01-2020,https://tse1.mm.bing.net/th?q=Hotel+Hill+Rock+Mopa
243,3,Kota,Hotel Bharat,3,Executive,3920,1,1,1,3920,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",6,23520,29-01-2020,23-01-2020,https://tse1.mm.bing.net/th?q=Hotel+Bharat+Kota
244,3,Gwalior,Ramaya Hotel,3,Suite,5738,4,3,4,22952,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms']",2,45904,01-02-2020,30-01-2020,https://tse1.mm.bing.net/th?q=Ramaya+Hotel+Gwalior
246,3,Prayagraj,Hotel DPS Inn,3,Executive,6168,2,3,2,12336,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms']",4,49344,17-02-2020,13-02-2020,https://tse1.mm.bing.net/th?q=Hotel+DPS+Inn+Prayagraj
248,3,Varanasi,Hotel Clarks Varanasi,5,Suite,14678,2,0,1,14678,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad', 'Limousine Service', 'Private Butler']",7,102746,06-03-2020,28-02-2020,https://tse1.mm.bing.net/th?q=Hotel+Clarks+Varanasi+Varanasi
255,3,Nashik,Express Inn Nashik,4,Suite,8052,3,3,3,24156,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar']",1,24156,17-04-2020,16-04-2020,https://tse1.mm.bing.net/th?q=Express+Inn+Nashik+Nashik
259,3,Ayodhya,Hotel Saryu Palace,3,Deluxe,3364,3,3,3,10092,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar', 'Meeting Rooms', 'Airport Shuttle']",3,30276,17-05-2020,14-05-2020,https://tse1.mm.bing.net/th?q=Hotel+Saryu+Palace+Ayodhya  
263,3,Srinagar,Hotel Valley Orchid,3,Deluxe,4657,4,0,2,9314,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Bar']",6,55884,17-06-2020,11-06-2020,https://tse1.mm.bing.net/th?q=Hotel+Valley+Orchid+Srinagar
269,3,Udaipur,The Fern Residency Udaipur,3,Deluxe,3651,3,0,2,7302,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Airport Shuttle']",2,14604,25-07-2020,23-07-2020,https://tse1.mm.bing.net/th?q=The+Fern+Residency+Udaipur+Udaipur
275,3,Patna,Hotel Windsor,3,Executive,4923,2,2,2,9846,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant']",3,29538,06-10-2020,03-10-2020,https://tse1.mm.bing.net/th?q=Hotel+Windsor+Patna
279,3,Jamshedpur,Hotel Jiva,3,Suite,6564,3,2,3,19692,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Meeting Rooms', 'Bar', 'Airport Shuttle']",4,78768,05-10-2020,01-10-2020,https://tse1.mm.bing.net/th?q=Hotel+Jiva+Jamshedpur
283,3,Puducherry,Anandha Inn Convention Centre and Suites,3,Suite,7254,3,2,3,21762,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Airport Shuttle', 'Meeting Rooms']",6,130572,05-11-2020,30-10-2020,https://tse1.mm.bing.net/th?q=Anandha+Inn+Convention+Centre+and+Suites+Puducherry
287,3,Nashik,Radisson Blu Hotel & Spa Nashik,5,Suite,14372,2,3,2,28744,"['Wi-Fi', 'Parking', 'Room Service', 'TV', 'Gym', 'Restaurant', 'Pool', 'Spa', 'Bar', 'Valet Parking', 'Suites', 'Concierge', 'Helipad']",3,86232,29-11-2020,26-11-2020,https://tse1.mm.bing.net/th?q=Radisson+Blu+Hotel+%26+Spa+Nashik+Nashik
